,DATE,Open,High,Low,Close,Adj Close,LREMTTTTUSM156S,서울아파트매매가격지수,EXKOUS,LM4DN,LM4DN_pred
111,2016-06-01,1976.869995,2035.27002,1892.75,1970.3499760000002,1970.3499760000002,59.8,93.3,1181.573,1,0
112,2016-07-01,1977.359985,2030.689941,1944.3299559999998,2016.189941,2016.189941,59.7,93.4,1145.7967,0,0
113,2016-08-01,2024.709961,2063.090088,1993.0,2034.6500239999998,2034.6500239999998,59.7,93.6,1173.7905,0,0
114,2016-09-01,2022.959961,2073.889893,1991.469971,2043.630005,2043.630005,59.6,93.9,1165.2023,0,0
115,2016-10-01,2056.939941,2070.429932,2002.290039,2008.189941,2008.189941,59.7,94.3,1140.865,0,0
116,2016-11-01,2003.410034,2015.22998,1931.069946,1983.47998,1983.47998,59.8,94.6,1110.0183,0,0
117,2016-12-01,1987.47998,2053.459961,1960.6500239999998,2026.459961,2026.459961,59.8,95.0,1108.3638,0,0
118,2017-01-01,2034.310059,2091.02002,2028.469971,2067.570068,2067.570068,59.7,95.7,1128.1660000000002,0,0
119,2017-02-01,2075.310059,2108.98999,2052.290039,2091.639893,2091.639893,59.8,96.2,1162.708,0,0
120,2017-03-01,2105.189941,2182.419922,2067.679932,2160.22998,2160.22998,59.8,96.3,1183.07,0,0
121,2017-04-01,2166.040039,2217.040039,2117.820068,2205.439941,2205.439941,59.9,96.3,1179.1074,0,0
122,2017-05-01,2213.610107,2371.669922,2212.8701170000004,2347.3798829999996,2347.3798829999996,59.9,96.4,1140.4874,0,0
123,2017-06-01,2348.310059,2402.800049,2335.6298829999996,2391.790039,2391.790039,60.1,96.6,1133.8617,0,0
124,2017-07-01,2397.659912,2453.169922,2372.830078,2402.709961,2402.709961,60.2,96.8,1134.1755,0,0
125,2017-08-01,2397.1201170000004,2434.469971,2310.199951,2363.189941,2363.189941,60.0,97.3,1125.1359,0,0
126,2017-09-01,2367.449951,2429.1201170000004,2314.310059,2394.469971,2394.469971,60.1,98.2,1130.8464,0,0
127,2017-10-01,2425.6298829999996,2528.320068,2421.100098,2523.429932,2523.429932,60.1,98.7,1131.746,0,0
128,2017-11-01,2535.969971,2561.6298829999996,2474.280029,2476.3701170000004,2476.3701170000004,60.1,99.3,1130.27,0,0
129,2017-12-01,2488.919922,2514.610107,2411.47998,2467.48999,2467.48999,60.4,99.3,1131.599,0,0
130,2018-01-01,2474.860107,2607.100098,2465.939941,2566.459961,2566.459961,60.2,99.6,1130.8838,0,0
131,2018-02-01,2578.909912,2583.73999,2346.72998,2427.360107,2427.360107,60.1,100.0,1099.7945,1,1
132,2018-03-01,2406.570068,2508.709961,2374.800049,2445.850098,2445.850098,60.2,100.8,1082.902,0,1
133,2018-04-01,2454.719971,2515.3798829999996,2405.909912,2515.3798829999996,2515.3798829999996,60.2,102.2,1065.641,0,1
134,2018-05-01,2515.75,2516.570068,2399.580078,2423.01001,2423.01001,60.4,103.6,1078.4747,1,1
135,2018-06-01,2419.6298829999996,2479.560059,2296.389893,2326.1298829999996,2326.1298829999996,60.4,104.4,1069.9418,1,1
136,2018-07-01,2322.22998,2327.590088,2243.899902,2295.26001,2295.26001,60.3,104.8,1068.0452,0,1
137,2018-08-01,2301.169922,2322.8798829999996,2218.090088,2322.8798829999996,2322.8798829999996,60.4,105.0,1076.6595,0,1
138,2018-09-01,2317.929932,2356.6201170000004,2264.899902,2343.070068,2343.070068,60.4,105.2,1094.3552,0,1
139,2018-10-01,2349.639893,2352.110107,1985.949951,2029.689941,2029.689941,60.5,105.6,1122.2029,1,1
140,2018-11-01,2035.109985,2136.73999,2023.430054,2096.860107,2096.860107,60.3,106.5,1120.427,0,1
141,2018-12-01,2127.780029,2136.639893,2014.280029,2041.040039,2041.040039,60.4,108.4,1119.82,1,1
142,2019-01-01,2050.550049,2222.8798829999996,1984.530029,2204.850098,2204.850098,60.6,109.1,1131.615,0,0
143,2019-02-01,2211.929932,2241.76001,2167.360107,2195.439941,2195.439941,60.6,109.1,1125.345,0,0
144,2019-03-01,2210.969971,2216.02002,2120.929932,2140.669922,2140.669922,60.6,108.9,1122.4244,1,1
145,2019-04-01,2153.310059,2252.050049,2153.310059,2203.590088,2203.590088,60.7,108.5,1120.33,0,1
146,2019-05-01,2192.939941,2217.030029,2016.25,2041.7399899999998,2041.7399899999998,60.7,108.1,1121.8333,1,1
147,2019-06-01,2031.030029,2141.27002,2029.1700440000002,2130.6201170000004,2130.6201170000004,60.6,107.7,1131.6005,0,0
148,2019-07-01,2147.23999,2147.23999,2052.030029,2066.26001,2066.26001,60.6,107.3,1142.165,1,0
